breakdown,group,rows,method,exact_match,bleu4,rouge1_f1,rouge2_f1,rougeL_f1,semantic_cosine_bge_m3,format_type_match,format_structure_score,validator_adherence,validator_rows,length_diff_tokens,absolute_length_diff_tokens,length_ratio_tokens,terminated_with_eos,length_diff_chars,trajectory_kl_macro,trajectory_kl_micro,trajectory_token_count
task_family,descriptive,6,base_no_prompt,0.0,0.1643046792691923,0.5620636814459365,0.2685630401996884,0.2947759734575571,0.9083148539066315,0.5,0.7243589743589743,,0,-25.5,25.5,0.8922226932601206,0.5,-203.5,0.11652990765480287,0.1144657932960019,1466
task_family,descriptive,6,full_prompt,1.0,1.0,1.0,1.0,1.0,0.9999999900658926,1.0,1.0,,0,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,0.0,1466
task_family,descriptive,6,qtraj_teacher_margin,0.0,0.3017326038692928,0.578993061997659,0.36868199827988973,0.40285643829260076,0.8986106216907501,0.5,0.7447302697302697,,0,-26.166666666666668,26.166666666666668,0.8943161202627046,0.5,-154.83333333333334,0.21835619103247209,0.21669665965968465,1466
task_family,descriptive,6,qtraj_topk_delta,0.0,0.28510001082782965,0.5954458133537872,0.363731979739285,0.38790450894162865,0.9060596625010172,0.6666666666666666,0.8247543461829178,,0,-11.666666666666666,22.0,0.9446683893195521,0.16666666666666666,-58.166666666666664,0.08213989331051684,0.08136845090746132,1466
task_family,descriptive,6,qtraj_teacher_auto_margin,1.0,1.0,1.0,1.0,1.0,0.9999999900658926,1.0,1.0,,0,0.0,0.0,1.0,0.3333333333333333,0.0,0.0593502679182439,0.058647227148891,1466
task_family,format,6,base_no_prompt,0.0,0.024928216292052937,0.188811483280275,0.06100924955327691,0.12525344961548593,0.7724133332570394,0.0,0.21785714285714286,0.0,6,212.5,212.5,6.162659363351732,0.0,616.8333333333334,0.8208231686728125,0.7941316809888479,267
task_family,format,6,full_prompt,1.0,1.0,1.0,1.0,1.0,1.00000003973643,1.0,1.0,1.0,6,0.0,0.0,1.0,1.0,0.0,0.0,0.0,267
task_family,format,6,qtraj_teacher_margin,0.16666666666666666,0.4046697168681268,0.522215690327557,0.4965672891991178,0.514933792061004,0.9235383967558543,0.6666666666666666,0.9365079365079364,0.6666666666666666,6,101.16666666666667,101.16666666666667,3.3006949599239133,0.6666666666666666,345.0,0.8553053004150765,0.8363712283603316,267
task_family,format,6,qtraj_topk_delta,0.0,0.1585400483386026,0.34060152323676823,0.2609797658171214,0.302584756118764,0.8658158183097839,0.6666666666666666,0.9285714285714285,0.6666666666666666,6,131.33333333333334,131.33333333333334,4.053986956188471,0.6666666666666666,374.0,0.09474742497479734,0.10592805487961637,267
task_family,format,6,qtraj_teacher_auto_margin,1.0,1.0,1.0,1.0,1.0,0.9999997615814209,1.0,1.0,1.0,6,0.0,0.0,1.0,1.0,0.0,0.11368816231136314,0.11917165813594457,267
task_family,output_control,3,base_no_prompt,0.0,0.20167446972560557,0.38554216867469887,0.34567901234567905,0.38554216867469887,0.8754877249399821,1.0,0.7142857142857143,0.0,3,44.0,44.0,2.9130434782608696,1.0,241.0,2.239693635208419,2.239693635208419,72
task_family,output_control,3,full_prompt,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,0.0,0.0,1.0,1.0,0.0,0.0,0.0,72
task_family,output_control,3,qtraj_teacher_margin,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,0.0,0.0,1.0,1.0,0.0,0.24397279300022015,0.24397279300022015,72
task_family,output_control,3,qtraj_topk_delta,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,0.0,0.0,1.0,1.0,0.0,0.018054007465766613,0.018054007465766613,72
task_family,output_control,3,qtraj_teacher_auto_margin,1.0,1.0,1.0,1.0,1.0,0.9999995628992716,1.0,1.0,1.0,3,0.0,0.0,1.0,1.0,0.0,0.04648599024084079,0.0464859902408408,72
task_family,style,3,base_no_prompt,0.6666666666666666,0.9350751253968118,0.9885057471264368,0.9629629629629629,0.9885057471264368,0.9978074034055074,1.0,1.0,,0,-0.3333333333333333,0.3333333333333333,0.9814814814814815,1.0,-3.3333333333333335,0.3109091482987332,0.3134051370449263,55
