breakdown,group,rows,method,exact_match,bleu4,rouge1_f1,rouge2_f1,rougeL_f1,semantic_cosine_bge_m3,format_type_match,format_structure_score,validator_adherence,validator_rows,length_diff_tokens,absolute_length_diff_tokens,length_ratio_tokens,terminated_with_eos,length_diff_chars,trajectory_kl_macro,trajectory_kl_micro,trajectory_token_count
length_variant,medium_redundant,92,qtraj_teacher_margin,0.13043478260869565,0.4206061864260998,0.6243644822846771,0.47881585457326853,0.5234604849880394,0.9296712447767672,0.782608695652174,0.8583096766521285,0.5,20,11.097826086956522,29.25,1.1906466458617986,0.40217391304347827,14.66304347826087,0.38113293810734744,0.3502759894435146,16360
length_variant,medium_redundant,92,qtraj_topk_delta,0.08695652173913043,0.38317762684502893,0.6175519192939478,0.44952084612769916,0.4922628882937789,0.92232938564342,0.7934782608695652,0.8746856333759974,0.6,20,-2.989130434782609,26.880434782608695,1.0815402741037068,0.5108695652173914,-20.815217391304348,0.14330858538997054,0.18314643766959213,16360
length_variant,medium_redundant,92,qtraj_teacher_auto_margin,1.0,1.0,1.0,1.0,1.0,0.9999999578880228,1.0,1.0,0.65,20,0.0,0.0,1.0,0.4891304347826087,0.0,0.07177009381467092,0.0760243844207934,16360
length_variant,short,92,base_no_prompt,0.0,0.16586580673383325,0.42825787479471306,0.23554350289418294,0.2877540979140912,0.819183107951413,0.5543478260869565,0.6965177773119947,0.05,20,29.597826086956523,56.59782608695652,2.8630741778802262,0.41304347826086957,78.69565217391305,0.37040276596889,0.13261022245718812,16082
length_variant,short,92,full_prompt,1.0,1.0,1.0,1.0,1.0,1.0000000110139018,1.0,1.0,0.7,20,0.0,0.0,1.0,0.4891304347826087,0.0,0.0,0.0,16082
length_variant,short,92,qtraj_teacher_margin,0.13043478260869565,0.44005420980945725,0.6311276248653926,0.4884992954741861,0.5327723234809212,0.9321170909249265,0.8043478260869565,0.8917311147612107,0.55,20,16.956521739130434,28.456521739130434,1.2566871592482403,0.41304347826086957,42.53260869565217,0.330174287776371,0.2454692330684523,16082
length_variant,short,92,qtraj_topk_delta,0.11956521739130435,0.41722999897731905,0.6342313431383415,0.46985682557408465,0.5215671393057553,0.9196956585282865,0.7717391304347826,0.8843812440088411,0.55,20,5.315217391304348,18.33695652173913,1.6326731902854024,0.45652173913043476,4.369565217391305,0.09079612591539342,0.07915878456849516,16082
length_variant,short,92,qtraj_teacher_auto_margin,1.0,1.0,1.0,1.0,1.0,0.999999933268713,1.0,1.0,0.7,20,0.0,0.0,1.0,0.4891304347826087,0.0,0.06605791353954542,0.05891117936111049,16082
subtype,academic,6,base_no_prompt,0.3333333333333333,0.5037234613208063,0.6952351137089878,0.5439608835046098,0.58117453327707,0.9325974782307943,0.5,0.6833333333333335,,0,34.0,34.333333333333336,1.21432350718065,0.5,43.0,0.2835059775118252,0.24586802614175124,620
subtype,academic,6,full_prompt,1.0,1.0,1.0,1.0,1.0,0.9999999900658926,1.0,1.0,,0,0.0,0.0,1.0,0.8333333333333334,0.0,0.0,0.0,620
subtype,academic,6,qtraj_teacher_margin,0.5,0.6426563056402511,0.789933392533579,0.6825925179136189,0.6892605819682348,0.9843739370505015,0.6666666666666666,0.8468614718614718,,0,6.166666666666667,25.833333333333332,1.0331065759637188,0.6666666666666666,9.333333333333334,0.2467887810016851,0.2687325695074759,620
subtype,academic,6,qtraj_topk_delta,0.5,0.6026026355872157,0.752441047741803,0.6241663813406738,0.6315766271163121,0.9538877010345459,0.5,0.7031385281385282,,0,34.166666666666664,34.166666666666664,1.2235827664399093,0.5,57.5,0.06495417785027678,0.11194140873225153,620
subtype,academic,6,qtraj_teacher_auto_margin,1.0,1.0,1.0,1.0,1.0,0.9999993741512299,1.0,1.0,,0,0.0,0.0,1.0,0.8333333333333334,0.0,0.06907998896712651,0.09447134958708092,620
subtype,beginner_friendly,6,base_no_prompt,0.0,0.07277488131387247,0.33276756732308277,0.1458799420201979,0.18841840926013098,0.8517683247725168,0.5,0.5954264501499523,,0,99.33333333333333,99.33333333333333,2.782726423902895,0.0,279.6666666666667,0.1587449710393027,0.13567496168899762,943
subtype,beginner_friendly,6,full_prompt,1.0,1.0,1.0,1.0,1.0,1.00000003973643,1.0,1.0,,0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,943
subtype,beginner_friendly,6,qtraj_teacher_margin,0.0,0.4636972242272109,0.630285427108115,0.5107044765573564,0.5648160062127308,0.9481585025787354,0.5,0.8118151428477032,,0,30.666666666666668,31.333333333333332,1.4363211951447246,0.3333333333333333,78.83333333333333,0.31151235805372096,0.25032250687212687,943
subtype,beginner_friendly,6,qtraj_topk_delta,0.0,0.5694183145847463,0.7675082902741859,0.6378454015712901,0.6550321389505303,0.9822106262048086,0.8333333333333334,0.9048752834467121,,0,0.3333333333333333,0.3333333333333333,1.0065359477124183,0.5,3.1666666666666665,0.062236833153448794,0.07016159328296995,943
subtype,beginner_friendly,6,qtraj_teacher_auto_margin,1.0,1.0,1.0,1.0,1.0,1.00000003973643,1.0,1.0,,0,0.0,0.0,1.0,0.5,0.0,0.04118184145418627,0.05215772167698132,943
subtype,clear_coherent_structure,30,base_no_prompt,0.0,0.19302411078324758,0.5116961917807822,0.2889165418423731,0.3466334590844751,0.880035005013148,0.5333333333333333,0.7511621315192745,,0,-16.566666666666666,29.033333333333335,0.8829142362233383,0.5,-75.43333333333334,0.10163174566435346,0.08536016388539223,5879
subtype,clear_coherent_structure,30,full_prompt,1.0,1.0,1.0,1.0,1.0,1.0000000218550364,1.0,1.0,,0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,5879
subtype,clear_coherent_structure,30,qtraj_teacher_margin,0.0,0.3488218749381541,0.6008779684518176,0.4256590957824373,0.47441576540235597,0.9288658440113068,0.8,0.843476272404844,,0,11.866666666666667,34.86666666666667,1.1470722959650108,0.4,9.4,0.2508892699362012,0.23430150316536993,5879
subtype,clear_coherent_structure,30,qtraj_topk_delta,0.0,0.3689602067349717,0.6266538720511365,0.43475526465239744,0.4812002147467874,0.9227941811084748,0.8333333333333334,0.8885834667977527,,0,-0.4666666666666667,20.2,1.0122505759049847,0.4666666666666667,-29.533333333333335,0.054199425028108004,0.053861378418328026,5879
subtype,clear_coherent_structure,30,qtraj_teacher_auto_margin,1.0,1.0,1.0,1.0,1.0,1.0000000218550364,1.0,1.0,,0,0.0,0.0,1.0,0.5,0.0,0.047443358174135135,0.04579991872784318,5879
subtype,complete_main_points,30,base_no_prompt,0.0,0.1541701925196481,0.48812453681483164,0.23354338473808714,0.27740055339904907,0.8823354164759318,0.6,0.7941365512794085,,0,-8.466666666666667,25.533333333333335,0.9849791210835448,0.4,-89.66666666666667,0.06609387670281969,0.06698997511972962,6938
subtype,complete_main_points,30,full_prompt,1.0,1.0,1.0,1.0,1.0,0.9999999900658926,1.0,1.0,,0,0.0,0.0,1.0,0.3,0.0,0.0,0.0,6938
subtype,complete_main_points,30,qtraj_teacher_margin,0.0,0.2970260976047745,0.5610160383123279,0.3646530053254901,0.40043633909731996,0.905933137734731,0.7333333333333333,0.8306556670842383,,0,-8.066666666666666,19.866666666666667,0.947662392084406,0.3,-78.9,0.21670460632784938,0.20992363896246452,6938
subtype,complete_main_points,30,qtraj_topk_delta,0.0,0.27841779750031387,0.5745079096514256,0.35146350854369673,0.38642819223394,0.9159688949584961,0.6666666666666666,0.8244085411942554,,0,-9.2,14.0,0.9326686629301082,0.23333333333333334,-53.96666666666667,0.058456686120122586,0.06002876638861619,6938
subtype,complete_main_points,30,qtraj_teacher_auto_margin,1.0,1.0,1.0,1.0,1.0,0.9999999900658926,1.0,1.0,,0,0.0,0.0,1.0,0.3,0.0,0.04229827524191486,0.04306924275611237,6938
subtype,concise_direct,6,base_no_prompt,0.0,0.0679139936846702,0.2620780226976058,0.15815324405840778,0.1606630195392659,0.7808220187822977,1.0,0.612670068027211,,0,213.66666666666666,213.66666666666666,6.691147564836576,0.0,605.6666666666666,0.5903856911061537,0.5707552614106904,260
subtype,concise_direct,6,full_prompt,1.0,1.0,1.0,1.0,1.0,1.0000000298023224,1.0,1.0,,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,260
subtype,concise_direct,6,qtraj_teacher_margin,0.3333333333333333,0.5127012526896804,0.5845476995636489,0.5731989310174225,0.5845476995636489,0.9652824997901917,1.0,1.0,,0,99.83333333333333,103.16666666666667,2.8780885308473088,0.5,197.66666666666666,0.8045548855502132,0.7843325829632634,260
subtype,concise_direct,6,qtraj_topk_delta,0.16666666666666666,0.6624277421662702,0.7982060004101731,0.7173242834818746,0.7559050726881145,0.9703686237335205,1.0,1.0,,0,0.5,4.166666666666667,1.032857395260496,1.0,0.16666666666666666,0.06958132090055204,0.07453987707506082,260
subtype,concise_direct,6,qtraj_teacher_auto_margin,1.0,1.0,1.0,1.0,1.0,1.0000000298023224,1.0,1.0,,0,0.0,0.0,1.0,1.0,0.0,0.0664055296003608,0.0677826550411947,260
subtype,cover_key_aspects,30,base_no_prompt,0.0,0.2336430411328345,0.5088173098236799,0.30016725611562395,0.35791466600049326,0.8582969685395558,0.6,0.8455746363077189,,0,10.766666666666667,25.966666666666665,1.2867536199398715,0.3,22.3,0.05405043324913571,0.052359224048036404,6328
subtype,cover_key_aspects,30,full_prompt,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,0,0.0,0.0,1.0,0.3,0.0,0.0,0.0,6328
subtype,cover_key_aspects,30,qtraj_teacher_margin,0.1,0.4113060605399017,0.6255321014713631,0.4574088606022125,0.4934560973138039,0.9476029952367147,0.7,0.8401372242758798,,0,-1.6,9.533333333333333,1.0138761155055558,0.3,-2.2333333333333334,0.19073915358641935,0.179513800684864,6328
subtype,cover_key_aspects,30,qtraj_topk_delta,0.06666666666666667,0.3792894797757863,0.6150562406743761,0.4296707534097538,0.4746990921320178,0.9272331098715464,0.8,0.9005081822938964,,0,2.3666666666666667,4.3,1.0397434475061502,0.3,14.666666666666666,0.0348970923800878,0.03972709170323734,6328
subtype,cover_key_aspects,30,qtraj_teacher_auto_margin,1.0,1.0,1.0,1.0,1.0,0.9999999483426412,1.0,1.0,,0,0.0,0.0,1.0,0.3,0.0,0.027702178193499283,0.0306156984329704,6328
subtype,direct_complete_response,30,base_no_prompt,0.0,0.1806361789893362,0.4183550967993485,0.23435998453464935,0.3039521079504729,0.8004954238732656,0.6333333333333333,0.7203601876689005,,0,49.1,66.1,1.7250354472868852,0.5,91.3,0.09830121344391009,0.07355172246913594,4249
subtype,direct_complete_response,30,full_prompt,1.0,1.0,1.0,1.0,1.0,1.000000003973643,1.0,1.0,,0,0.0,0.0,1.0,0.7333333333333333,0.0,0.0,0.0,4249
